"UID","TAXA_ID","SAMPLE_TYPE","TOTAL","IS_DISTINCT_ORIG","PHYLUM","CLASS","ORDER","FAMILY","SUBFAMILY","TRIBE","GENUS","TARGET_TAXON"
10000,3406,"BERWW",11,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","PENTANEURINI","ABLABESMYIA","ABLABESMYIA"
10001,3476,"BERWW",1,1,"ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","","","ARGIA","ARGIA"
10000,3476,"BERWW",3,1,"ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","","","ARGIA","ARGIA"
10001,3491,"BERWW",6,1,"ARTHROPODA","INSECTA","DIPTERA","CERATOPOGONIDAE","","","ATRICHOPOGON","ATRICHOPOGON"
10001,3496,"BERWW",22,1,"ANNELIDA","OLIGOCHAETA","HAPLOTAXIDA","TUBIFICIDAE","","","AULODRILUS","AULODRILUS"
10001,3511,"BERWW",3,1,"ARTHROPODA","INSECTA","COLEOPTERA","HYDROPHILIDAE","","","BEROSUS","BEROSUS"
10000,3542,"BERWW",127,1,"ARTHROPODA","INSECTA","EPHEMEROPTERA","CAENIDAE","","","CAENIS","CAENIS"
10001,3542,"BERWW",70,1,"ARTHROPODA","INSECTA","EPHEMEROPTERA","CAENIDAE","","","CAENIS","CAENIS"
10001,3546,"BERWW",1,0,"ARTHROPODA","INSECTA","ODONATA","CALOPTERYGIDAE","","","","CALOPTERYGIDAE"
10000,3547,"BERWW",2,1,"ARTHROPODA","INSECTA","ODONATA","CALOPTERYGIDAE","","","CALOPTERYX","CALOPTERYX"
10000,3564,"BERWW",1,1,"ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","","","CENTROPTILUM","CENTROPTILUM"
10001,3566,"BERWW",6,0,"ARTHROPODA","INSECTA","DIPTERA","CERATOPOGONIDAE","","","","CERATOPOGONIDAE"
10000,3567,"BERWW",18,1,"ARTHROPODA","INSECTA","DIPTERA","CERATOPOGONIDAE","","","","CERATOPOGONINAE"
10001,3567,"BERWW",6,1,"ARTHROPODA","INSECTA","DIPTERA","CERATOPOGONIDAE","","","","CERATOPOGONINAE"
10000,3578,"BERWW",9,1,"ARTHROPODA","INSECTA","TRICHOPTERA","HYDROPSYCHIDAE","","","CHEUMATOPSYCHE","CHEUMATOPSYCHE"
10001,3581,"BERWW",5,0,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","","","","CHIRONOMIDAE"
10001,3587,"BERWW",1,1,"ARTHROPODA","INSECTA","DIPTERA","TABANIDAE","","","CHRYSOPS","CHRYSOPS"
10000,3587,"BERWW",18,1,"ARTHROPODA","INSECTA","DIPTERA","TABANIDAE","","","CHRYSOPS","CHRYSOPS"
10001,3594,"BERWW",1,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","TANYTARSINI","CLADOTANYTARSUS","CLADOTANYTARSUS"
10000,3620,"BERWW",1,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","","CORYNONEURA","CORYNONEURA"
10001,3620,"BERWW",1,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIINAE","","CORYNONEURA","CORYNONEURA"
10000,3625,"BERWW",51,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","CRYPTOCHIRONOMUS","CRYPTOCHIRONOMUS"
10001,3625,"BERWW",10,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","CRYPTOCHIRONOMUS","CRYPTOCHIRONOMUS"
10000,3628,"BERWW",13,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","CRYPTOTENDIPES","CRYPTOTENDIPES"
10000,3641,"BERWW",2,1,"ARTHROPODA","INSECTA","DIPTERA","CERATOPOGONIDAE","","","DASYHELEA","DASYHELEA"
10001,3641,"BERWW",1,1,"ARTHROPODA","INSECTA","DIPTERA","CERATOPOGONIDAE","","","DASYHELEA","DASYHELEA"
10000,3658,"BERWW",1,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","DICROTENDIPES","DICROTENDIPES"
10001,3678,"BERWW",7,1,"ARTHROPODA","INSECTA","COLEOPTERA","ELMIDAE","","","DUBIRAPHIA","DUBIRAPHIA"
10000,3678,"BERWW",47,1,"ARTHROPODA","INSECTA","COLEOPTERA","ELMIDAE","","","DUBIRAPHIA","DUBIRAPHIA"
10000,3697,"BERWW",1,1,"ANNELIDA","OLIGOCHAETA","ENCHYTRAEIDA","ENCHYTRAEIDAE","","","","ENCHYTRAEIDAE"
10001,3716,"BERWW",19,1,"ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","","","ERPETOGOMPHUS","ERPETOGOMPHUS"
10000,3717,"BERWW",1,1,"ANNELIDA","HIRUDINEA","ARHYNCHOBDELLIDA","ERPOBDELLIDAE","","","ERPOBDELLA","ERPOBDELLA"
10001,3728,"BERWW",1,1,"ARTHROPODA","ARACHNIDA","TROMBIDIFORMES","EYLAIDAE","","","EYLAIS","EYLAIS"
10001,3729,"BERWW",2,1,"ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","","","FALLCEON","FALLCEON"
10000,3759,"BERWW",5,1,"ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","","","","GOMPHIDAE"
10001,3759,"BERWW",21,0,"ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","","","","GOMPHIDAE"
10000,3763,"BERWW",2,1,"ARTHROPODA","INSECTA","DIPTERA","TIPULIDAE","","","GONOMYIA","GONOMYIA"
10001,3788,"BERWW",2,1,"ARTHROPODA","INSECTA","COLEOPTERA","DRYOPIDAE","","","HELICHUS","HELICHUS"
10001,3789,"BERWW",2,1,"ARTHROPODA","INSECTA","TRICHOPTERA","HELICOPSYCHIDAE","","","HELICOPSYCHE","HELICOPSYCHE"
10001,3807,"BERWW",3,1,"ARTHROPODA","INSECTA","ODONATA","CALOPTERYGIDAE","","","HETAERINA","HETAERINA"
10001,3808,"BERWW",1,1,"ARTHROPODA","INSECTA","COLEOPTERA","ELMIDAE","","","HETERELMIS","HETERELMIS"
10001,3816,"BERWW",1,1,"ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERIDAE","","","HEXAGENIA","HEXAGENIA"
10000,3816,"BERWW",1,1,"ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERIDAE","","","HEXAGENIA","HEXAGENIA"
10000,3841,"BERWW",4,1,"ARTHROPODA","INSECTA","COLEOPTERA","HYDROPHILIDAE","","","","HYDROPHILIDAE"
10001,3841,"BERWW",1,0,"ARTHROPODA","INSECTA","COLEOPTERA","HYDROPHILIDAE","","","","HYDROPHILIDAE"
10001,3866,"BERWW",2,1,"ARTHROPODA","INSECTA","EPHEMEROPTERA","ISONYCHIIDAE","","","ISONYCHIA","ISONYCHIA"
10001,3890,"BERWW",12,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","PENTANEURINI","LARSIA","LARSIA"
10000,3925,"BERWW",2,1,"ANNELIDA","OLIGOCHAETA","HAPLOTAXIDA","TUBIFICIDAE","","","LIMNODRILUS","LIMNODRILUS"
10001,3945,"BERWW",4,1,"MOLLUSCA","GASTROPODA","BASOMMATOPHORA","LYMNAEIDAE","","","","LYMNAEIDAE"
10001,3952,"BERWW",1,1,"ARTHROPODA","INSECTA","COLEOPTERA","ELMIDAE","","","MACRONYCHUS","MACRONYCHUS"
10001,3980,"BERWW",33,1,"ARTHROPODA","INSECTA","COLEOPTERA","ELMIDAE","","","MICROCYLLOEPUS","MICROCYLLOEPUS"
10000,3982,"BERWW",3,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","MICROTENDIPES","MICROTENDIPES"
10001,4003,"BERWW",1,0,"ANNELIDA","OLIGOCHAETA","HAPLOTAXIDA","NAIDIDAE","","","","NAIDIDAE"
10001,4011,"BERWW",1,1,"ARTHROPODA","INSECTA","TRICHOPTERA","LEPTOCERIDAE","","","NECTOPSYCHE","NECTOPSYCHE"
10000,4059,"BERWW",4,1,"ARTHROPODA","INSECTA","DIPTERA","STRATIOMYIDAE","","","ODONTOMYIA","ODONTOMYIA"
10001,4059,"BERWW",2,1,"ARTHROPODA","INSECTA","DIPTERA","STRATIOMYIDAE","","","ODONTOMYIA","ODONTOMYIA"
10000,4060,"BERWW",1,1,"ARTHROPODA","INSECTA","TRICHOPTERA","LEPTOCERIDAE","","","OECETIS","OECETIS"
10001,4060,"BERWW",1,1,"ARTHROPODA","INSECTA","TRICHOPTERA","LEPTOCERIDAE","","","OECETIS","OECETIS"
10001,4102,"BERWW",13,1,"ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","","","PARACLOEODES","PARACLOEODES"
10001,4104,"BERWW",2,1,"ARTHROPODA","INSECTA","COLEOPTERA","HYDROPHILIDAE","","","PARACYMUS","PARACYMUS"
10000,4107,"BERWW",12,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","PARALAUTERBORNIELLA","PARALAUTERBORNIELLA"
10001,4107,"BERWW",2,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","PARALAUTERBORNIELLA","PARALAUTERBORNIELLA"
10000,4120,"BERWW",2,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","TANYTARSINI","PARATANYTARSUS","PARATANYTARSUS"
10001,4121,"BERWW",19,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","PARATENDIPES","PARATENDIPES"
10001,4134,"BERWW",15,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","PENTANEURINI","PENTANEURA","PENTANEURA"
10001,4149,"BERWW",17,1,"MOLLUSCA","GASTROPODA","BASOMMATOPHORA","PHYSIDAE","","","PHYSA","PHYSA"
10000,4149,"BERWW",3,1,"MOLLUSCA","GASTROPODA","BASOMMATOPHORA","PHYSIDAE","","","PHYSA","PHYSA"
10000,4158,"BERWW",8,0,"MOLLUSCA","BIVALVIA","VENEROIDA","PISIDIIDAE","","","","PISIDIIDAE"
10001,4158,"BERWW",26,0,"MOLLUSCA","BIVALVIA","VENEROIDA","PISIDIIDAE","","","","PISIDIIDAE"
10000,4159,"BERWW",2,1,"MOLLUSCA","BIVALVIA","VENEROIDA","PISIDIIDAE","","","PISIDIUM","PISIDIUM"
10001,4159,"BERWW",5,1,"MOLLUSCA","BIVALVIA","VENEROIDA","PISIDIIDAE","","","PISIDIUM","PISIDIUM"
10000,4178,"BERWW",9,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","POLYPEDILUM","POLYPEDILUM"
10001,4178,"BERWW",17,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","POLYPEDILUM","POLYPEDILUM"
10001,4188,"BERWW",1,1,"ANNELIDA","OLIGOCHAETA","HAPLOTAXIDA","NAIDIDAE","","","PRISTINA","PRISTINA"
10000,4191,"BERWW",29,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","PROCLADIINI","PROCLADIUS","PROCLADIUS"
10001,4199,"BERWW",1,1,"NEMERTEA","ENOPLA","HOPLONEMERTEA","TETRASTEMMATIDAE","","","PROSTOMA","PROSTOMA"
10000,4222,"BERWW",1,1,"ARTHROPODA","INSECTA","DIPTERA","PSYCHODIDAE","","","PSYCHODA","PSYCHODA"
10000,4223,"BERWW",1,0,"ARTHROPODA","INSECTA","DIPTERA","PSYCHODIDAE","","","","PSYCHODIDAE"
10001,4247,"BERWW",3,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","TANYTARSINI","RHEOTANYTARSUS","RHEOTANYTARSUS"
10001,4257,"BERWW",1,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","ROBACKIA","ROBACKIA"
10000,4260,"BERWW",10,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","SAETHERIA","SAETHERIA"
10001,4260,"BERWW",1,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","CHIRONOMINI","SAETHERIA","SAETHERIA"
10000,4309,"BERWW",4,1,"ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","","","STENACRON","STENACRON"
10000,4310,"BERWW",5,1,"ARTHROPODA","INSECTA","COLEOPTERA","ELMIDAE","","","STENELMIS","STENELMIS"
10000,4319,"BERWW",1,1,"ARTHROPODA","INSECTA","DIPTERA","STRATIOMYIDAE","","","STRATIOMYS","STRATIOMYS"
10000,4348,"BERWW",22,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHIRONOMINAE","TANYTARSINI","TANYTARSUS","TANYTARSUS"
10000,4362,"BERWW",16,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","PENTANEURINI","","THIENEMANNIMYIA GENUS GR."
10001,4362,"BERWW",1,1,"ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYPODINAE","PENTANEURINI","","THIENEMANNIMYIA GENUS GR."
10001,4369,"BERWW",1,1,"ARTHROPODA","INSECTA","DIPTERA","TIPULIDAE","","","","TIPULIDAE"
10001,4384,"BERWW",130,1,"ARTHROPODA","INSECTA","EPHEMEROPTERA","LEPTOHYPHIDAE","","","TRICORYTHODES","TRICORYTHODES"
10001,4391,"BERWW",7,0,"ANNELIDA","OLIGOCHAETA","HAPLOTAXIDA","TUBIFICIDAE","","","","TUBIFICIDAE"
10000,4391,"BERWW",10,0,"ANNELIDA","OLIGOCHAETA","HAPLOTAXIDA","TUBIFICIDAE","","","","TUBIFICIDAE"
