"UID","TAXA_ID","COUNT_300","IS_DISTINCT_300","PHYLUM","CLASS","SUBCLASS","ORDER","SUBORDER","FAMILY","SUBFAMILY","GENUS","SPECIES","SUBSPECIES","TARGET_TAXON"
7172,1002,14,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CYCLOPOIDA",NA,"CYCLOPIDAE",NA,"ACANTHOCYCLOPS","ROBUSTUS",NA,"ACANTHOCYCLOPS ROBUSTUS"
6424,1002,2,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CYCLOPOIDA",NA,"CYCLOPIDAE",NA,"ACANTHOCYCLOPS","ROBUSTUS",NA,"ACANTHOCYCLOPS ROBUSTUS"
6424,1054,224,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","BOSMINIDAE",NA,"BOSMINA","LONGIROSTRIS",NA,"BOSMINA LONGIROSTRIS"
1000161,1054,250,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","BOSMINIDAE",NA,"BOSMINA","LONGIROSTRIS",NA,"BOSMINA LONGIROSTRIS"
8217,1054,283,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","BOSMINIDAE",NA,"BOSMINA","LONGIROSTRIS",NA,"BOSMINA LONGIROSTRIS"
7830,1054,1,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","BOSMINIDAE",NA,"BOSMINA","LONGIROSTRIS",NA,"BOSMINA LONGIROSTRIS"
7172,1054,1,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","BOSMINIDAE",NA,"BOSMINA","LONGIROSTRIS",NA,"BOSMINA LONGIROSTRIS"
8217,1056,8,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","BOSMINIDAE",NA,"BOSMINOPSIS","DEITERSI",NA,"BOSMINOPSIS DEITERSI"
7404,1056,240,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","BOSMINIDAE",NA,"BOSMINOPSIS","DEITERSI",NA,"BOSMINOPSIS DEITERSI"
1000020,1080,2,0,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,NA,NA,NA,NA,NA,"CALANOIDA"
7841,1080,8,0,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,NA,NA,NA,NA,NA,"CALANOIDA"
7172,1080,10,0,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,NA,NA,NA,NA,NA,"CALANOIDA"
1000161,1080,34,0,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,NA,NA,NA,NA,NA,"CALANOIDA"
1000186,1080,66,0,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,NA,NA,NA,NA,NA,"CALANOIDA"
7830,1080,1,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,NA,NA,NA,NA,NA,"CALANOIDA"
7973,1091,1,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"CERIODAPHNIA","LACUSTRIS",NA,"CERIODAPHNIA LACUSTRIS"
6424,1091,24,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"CERIODAPHNIA","LACUSTRIS",NA,"CERIODAPHNIA LACUSTRIS"
7830,1091,234,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"CERIODAPHNIA","LACUSTRIS",NA,"CERIODAPHNIA LACUSTRIS"
8217,1091,7,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"CERIODAPHNIA","LACUSTRIS",NA,"CERIODAPHNIA LACUSTRIS"
6424,1098,11,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","CHYDORIDAE",NA,"CHYDORUS","SPHAERICUS",NA,"CHYDORUS SPHAERICUS"
6424,1099,5,0,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA",NA,NA,NA,NA,NA,"CLADOCERA"
7841,1121,4,0,"ARTHROPODA","MAXILLOPODA","COPEPODA","CYCLOPOIDA",NA,NA,NA,NA,NA,NA,"CYCLOPOIDA"
6424,1121,16,0,"ARTHROPODA","MAXILLOPODA","COPEPODA","CYCLOPOIDA",NA,NA,NA,NA,NA,NA,"CYCLOPOIDA"
7172,1121,46,0,"ARTHROPODA","MAXILLOPODA","COPEPODA","CYCLOPOIDA",NA,NA,NA,NA,NA,NA,"CYCLOPOIDA"
1000020,1121,1,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CYCLOPOIDA",NA,NA,NA,NA,NA,NA,"CYCLOPOIDA"
7404,1121,22,0,"ARTHROPODA","MAXILLOPODA","COPEPODA","CYCLOPOIDA",NA,NA,NA,NA,NA,NA,"CYCLOPOIDA"
1000186,1121,21,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CYCLOPOIDA",NA,NA,NA,NA,NA,NA,"CYCLOPOIDA"
7830,1121,13,0,"ARTHROPODA","MAXILLOPODA","COPEPODA","CYCLOPOIDA",NA,NA,NA,NA,NA,NA,"CYCLOPOIDA"
7172,1124,55,0,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"DAPHNIA",NA,NA,"DAPHNIA"
6424,1125,4,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"DAPHNIA","AMBIGUA",NA,"DAPHNIA AMBIGUA"
7172,1127,107,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"DAPHNIA","DENTIFERA",NA,"DAPHNIA DENTIFERA"
7841,1131,12,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"DAPHNIA","GALEATA","MENDOTAE","DAPHNIA GALEATA MENDOTAE"
1000020,1131,275,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"DAPHNIA","GALEATA","MENDOTAE","DAPHNIA GALEATA MENDOTAE"
7830,1131,7,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"DAPHNIA","GALEATA","MENDOTAE","DAPHNIA GALEATA MENDOTAE"
8217,1134,1,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"DAPHNIA","LUMHOLTZI",NA,"DAPHNIA LUMHOLTZI"
7172,1142,39,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"DAPHNIA","PULICARIA",NA,"DAPHNIA PULICARIA"
7841,1142,12,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","DAPHNIIDAE",NA,"DAPHNIA","PULICARIA",NA,"DAPHNIA PULICARIA"
1000161,1151,3,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","SIDIDAE",NA,"DIAPHANOSOMA","BIRGEI",NA,"DIAPHANOSOMA BIRGEI"
7973,1151,2,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","SIDIDAE",NA,"DIAPHANOSOMA","BIRGEI",NA,"DIAPHANOSOMA BIRGEI"
8217,1151,1,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","SIDIDAE",NA,"DIAPHANOSOMA","BIRGEI",NA,"DIAPHANOSOMA BIRGEI"
7404,1156,1,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","CHYDORIDAE",NA,"DISPARALONA","HAMATA",NA,"DISPARALONA HAMATA"
1000020,1171,1,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,"TEMORIDAE",NA,"EPISCHURA","LACUSTRIS",NA,"EPISCHURA LACUSTRIS"
1000186,1171,2,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","CALANOIDA",NA,"TEMORIDAE",NA,"EPISCHURA","LACUSTRIS",NA,"EPISCHURA LACUSTRIS"
7404,1175,7,1,"ARTHROPODA","MAXILLOPODA","COPEPODA","POECILOSTOMATOIDA",NA,"ERGASILIDAE",NA,"ERGASILUS",NA,NA,"ERGASILUS"
1000186,1182,110,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","BOSMINIDAE",NA,"EUBOSMINA","LONGISPINA",NA,"EUBOSMINA LONGISPINA"
1000020,1182,2,1,"ARTHROPODA","BRANCHIOPODA","PHYLLOPODA","DIPLOSTRACA","CLADOCERA","BOSMINIDAE",NA,"EUBOSMINA","LONGISPINA",NA,"EUBOSMINA LONGISPINA"
